id_objects;name_type_object;name_objects;address;location;created_by;osm_id
53;Кафе;Charlie;;0101000020E6100000D92038D329F94B40CA6FD1C9525D4B40;1;11646396771
54;Кафе;Selfish;;0101000020E6100000C6376FF7CDF84B4045F872FAD55C4B40;1;11710416170
55;Кафе;Бачо и хинкали;;0101000020E610000059897956D2F84B40C712D6C6D85C4B40;1;11710416172
56;Кафе;Маленький француз;;0101000020E6100000719989D816F94B40638E2FEB0F5D4B40;1;11773488862
57;Кафе;Barista;;0101000020E610000010035DFB02F94B40275CD94F105D4B40;1;11773491077
58;Кафе;Уфимские истории;;0101000020E6100000FF89DBB28DF74B40F056F1A19F5C4B40;1;11792927178
59;Кафе;Хаски кофе;;0101000020E610000082058B1E53F94B408F17D2E1215D4B40;1;11824188831
60;Кафе;9/11;;0101000020E6100000D7E143E44FF94B40F2ADB4311B5D4B40;1;11824188834
61;Кафе;Чемодан;;0101000020E6100000839A6BE22EF84B402C1F93D6295D4B40;1;11843589129
62;Кафе;Maybe Coffee;;0101000020E6100000E180F167D3F84B4073E6689FD85C4B40;1;11940313958
63;Кафе;Баракат;Менделеева 134/7;0101000020E6100000EB45A3F1FAF84B4091D6732DB55C4B40;1;12070066975
64;Кафе;Эврен;;0101000020E6100000CFAE319EF7F84B40839D071CAE5C4B40;1;12073392406
65;Кафе;Баракат;;0101000020E6100000DD60A8C30AF84B40BAA5304A2B5C4B40;1;12162487173
66;Кафе;Дом башкирской кухни;;0101000020E6100000E68585A460F94B406E3DF9AA4B5C4B40;1;12163676644
67;Кафе;Азык-Тулек;;0101000020E61000004E2DB6A4FEF74B40EF95D464215C4B40;1;12181608318
68;Кафе;Питерские пышки;;0101000020E61000008EACFC3218F84B40ECD6D75F1B5D4B40;1;12205445318
69;Кафе;Дед Хо;;0101000020E61000004E863EB37FF94B40B2BD71AD515D4B40;1;12411011222
70;Кафе;Buffet;;0101000020E6100000072A3E99DAF74B4035875A892F5C4B40;1;12484062930
71;Кафе;Pause;;0101000020E610000035705177AFF74B40E7EE29EF995C4B40;1;12488083874
72;Кафе;Zurrahmat;;0101000020E6100000A514747B49F84B405C55F65D115D4B40;1;12488083875
73;Кафе;Kumpan;;0101000020E6100000C7E18222CCF84B4027CA94C5B35C4B40;1;12560613134
74;Кафе;Дони Шеф;;0101000020E6100000EE96E4805DF94B404DCE9A690C5D4B40;1;12696766308
75;Кафе;Эко Пышка;;0101000020E6100000E5E088A4CCF84B40F82FB54A555D4B40;1;12801904885
76;Кафе;Пельмеша;улица Ленина 1;0101000020E61000007097FDBAD3F84B40C5724BAB215C4B40;1;12901986871
77;Кафе;Surf Coffee;;0101000020E61000004B85C2B178F74B402C0DFCA8865C4B40;1;12912801828
78;Кафе;Jamuna;;0101000020E6100000341DF0AFD4F84B40B14115EDE05C4B40;1;1090521848
79;Кафе;Баракат;;0101000020E6100000257DB5FEF1F84B406FF66283E05C4B40;1;1090521849
80;Кафе;Домовёнок;;0101000020E61000002317F77A52FE4B40B1694A57555C4B40;1;1225490761
81;Кафе;Мокко;;0101000020E6100000969B035F2CFE4B401CB7989F1B5C4B40;1;1225497690
82;Кафе;Престиж;;0101000020E6100000E2992BDE23FC4B405578865FA0594B40;1;1359224644
83;Кафе;Ашхана;;0101000020E6100000A7ECF483BAF94B4048CD0D3CAD5B4B40;1;1368781174
84;Кафе;RevolutionCoffee;;0101000020E6100000C1CD3D7F35FB4B4062928087585B4B40;1;1459472488
85;Кафе;Traveler's Coffee;;0101000020E6100000C9096EFF25FF4B407414D67C4B5B4B40;1;2062762532
86;Кафе;Халяль;;0101000020E6100000F045C549ABF94B4058C7F143A55B4B40;1;2104027509
87;Кафе;Василёк;;0101000020E6100000C0A1A64C20FC4B406BEAE1708B5A4B40;1;2411909495
88;Кафе;Ирани чайхана;;0101000020E610000083BAEDE7B9FC4B4045F5D6C0565A4B40;1;2444320163
89;Кафе;"Антикафе '"Groovy'"";;0101000020E61000004B25975A4AFA4B408B3CA473D95B4B40;1;2472331886
90;Кафе;Махигуль;;0101000020E6100000325A475513FD4B408856DDD90D5D4B40;1;3169868461
91;Кафе;Поварёшка Кафе-блинная;улица Заки Валиди 58;0101000020E6100000E06CCE1CEDF94B40071E8425C35B4B40;1;4204110714
92;Кафе;Вернисаж;;0101000020E6100000D746E11F5BFA4B405EA27A6B605B4B40;1;5275006422
93;Кафе;Дом благородных;;0101000020E6100000F08C11E4FBF94B4049CED3CACE5B4B40;1;5275006423
94;Кафе;Эйфория Гарден;;0101000020E6100000ACE9D55B5EFB4B400C1DE0EE515D4B40;1;5278613222
95;Кафе;А компот;;0101000020E6100000B125F5AFF6FD4B40AD12D154F45C4B40;1;6204887785
96;Кафе;Анкар;;0101000020E610000079909E2287FF4B400EFD6E151F5A4B40;1;6212824406
97;Кафе;Раковарня Ивана Раковара;;0101000020E61000004B9B60EE49FB4B404F7D7B325A5B4B40;1;6215844531
98;Кафе;Фарфор;;0101000020E61000001A16A3AEB5FF4B40522B4CDF6B5A4B40;1;7503476023
99;Кафе;Фарфор;;0101000020E6100000A724EB7074FD4B40357C0BEBC65B4B40;1;7503476024
100;Кафе;Халяль;;0101000020E6100000B57A3D4E87FF4B407D25EBCB2D594B40;1;8208878304
101;Кафе;Формула вкуса;;0101000020E6100000A8FC6B79E5FD4B406D2DDD6E93574B40;1;8752537810
102;Кафе;Бочка;;0101000020E6100000C1A7397991FE4B40091DCFC2F95C4B40;1;8752557929
103;Кафе;cafe for friends;;0101000020E61000005D8EB2D9ECF94B40F70082DEC05B4B40;1;9775074278
104;Кафе;Coffee Like;;0101000020E6100000C4B12E6EA3FF4B40ECDE8AC404594B40;1;9919196936
105;Кафе;Еда Востока;;0101000020E6100000806C4892D6FD4B40A2BE1BC17C594B40;1;10003737828
106;Кафе;Cafe for Friends;;0101000020E6100000129B34B2D0F94B401C08C902265D4B40;1;10082188236
107;Кафе;Гурман;;0101000020E61000003B6B5CA4F5FD4B4060DBEC5921594B40;1;10844194452
